0, 0, Header, 1, 8, 960
1, 0, Start_track
1, 0, Title_t, "breakingwheel"
1, 0, Time_signature, 6, 2, 24, 8
1, 0, Tempo, 244396
1, 34560, Tempo, 257510
1, 40320, Tempo, 254236
1, 46080, Tempo, 263157
1, 51840, Tempo, 260868
1, 57600, Tempo, 243900
1, 63360, Tempo, 229006
1, 69120, Tempo, 230767
1, 74880, Tempo, 234375
1, 80640, Time_signature, 4, 2, 24, 8
1, 80640, Tempo, 235293
1, 84480, Tempo, 230767
1, 88320, Tempo, 235293
1, 99840, Tempo, 233463
1, 103680, Tempo, 235293
1, 111360, Time_signature, 6, 2, 24, 8
1, 111360, Tempo, 235293
1, 122880, Tempo, 232557
1, 134400, Tempo, 234375
1, 145920, Tempo, 244892
1, 151680, Tempo, 235293
1, 157440, Time_signature, 4, 2, 24, 8
1, 157440, Tempo, 239041
1, 161280, Tempo, 228136
1, 172800, Tempo, 229006
1, 180480, Tempo, 232557
1, 188160, Tempo, 229884
1, 199680, Tempo, 226413
1, 203520, Tempo, 231659
1, 211200, Tempo, 229884
1, 215040, Tempo, 232557
1, 218880, Time_signature, 6, 2, 24, 8
1, 218880, Tempo, 218978
1, 224640, Tempo, 235293
1, 236160, Tempo, 230767
1, 241920, Tempo, 239996
1, 253440, Tempo, 243900
1, 259200, Tempo, 238095
1, 264960, Time_signature, 4, 2, 24, 8
1, 264960, Tempo, 237154
1, 272640, Tempo, 229884
1, 276480, Tempo, 237154
1, 280320, Tempo, 240961
1, 284160, Tempo, 238095
1, 288000, Tempo, 242914
1, 291840, Tempo, 244892
1, 299520, Tempo, 248962
1, 303360, Tempo, 230767
1, 307200, Tempo, 228136
1, 311040, Tempo, 238095
1, 314880, Tempo, 239996
1, 318720, Tempo, 230767
1, 326400, Tempo, 234375
1, 337920, Tempo, 229006
1, 345600, Time_signature, 6, 2, 24, 8
1, 345600, Tempo, 233463
1, 368640, Tempo, 235293
1, 374400, Tempo, 239996
1, 385920, Tempo, 223876
1, 391680, Time_signature, 4, 2, 24, 8
1, 391680, Tempo, 235293
1, 399360, Tempo, 238095
1, 407040, Tempo, 235293
1, 414720, Tempo, 230767
1, 430080, Tempo, 232557
1, 437760, Tempo, 238095
1, 441600, Tempo, 234375
1, 449280, Tempo, 226413
1, 453120, Time_signature, 6, 2, 24, 8
1, 453120, Tempo, 229006
1, 458880, Tempo, 232557
1, 464640, Tempo, 236220
1, 470400, Tempo, 234375
1, 476160, Tempo, 235293
1, 487680, Tempo, 239996
1, 493440, Tempo, 235293
1, 496320, Tempo, 255317
1, 497522, Tempo, 279069
1, 499200, Tempo, 303030
1, 516480, Tempo, 273972
1, 522240, Tempo, 279069
1, 528000, Tempo, 271492
1, 533760, Tempo, 279069
1, 539520, Tempo, 272727
1, 551040, Tempo, 269057
1, 562560, Tempo, 266665
