0, 0, Header, 1, 8, 960
1, 0, Start_track
1, 0, Title_t, "callout"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 259739
1, 7680, Tempo, 252099
1, 11520, Tempo, 260868
1, 15360, Tempo, 266665
1, 19200, Tempo, 260868
1, 23040, Tempo, 257510
1, 26880, Tempo, 259739
1, 30720, Tempo, 264317
1, 34560, Tempo, 271492
1, 38400, Tempo, 245901
1, 42240, Tempo, 264317
1, 49920, Tempo, 262008
1, 53760, Tempo, 255317
1, 61440, Tempo, 262008
1, 65280, Tempo, 260868
1, 76800, Tempo, 266665
1, 84480, Tempo, 257510
1, 99840, Tempo, 266665
1, 103680, Tempo, 257510
1, 107520, Tempo, 263157
1, 115200, Tempo, 257510
1, 122880, Tempo, 260868
1, 130560, Tempo, 266665
1, 138240, Tempo, 260868
1, 145920, Tempo, 259739
1, 157440, Tempo, 253163
1, 161280, Tempo, 266665
1, 165120, Tempo, 260868
1, 168960, Tempo, 265486
1, 172800, Tempo, 260868
1, 195840, Tempo, 258619
1, 207360, Tempo, 263157
1, 211200, Tempo, 269057
1, 215040, Tempo, 257510
1, 222720, Tempo, 259739
1, 245760, Tempo, 260868
1, 253440, Tempo, 262008
1, 261120, Tempo, 260868
1, 268800, Tempo, 258619
1, 276480, Tempo, 259739
1, 284160, Tempo, 266665
1, 291840, Tempo, 262008
1, 307200, Tempo, 254236
1, 314880, Tempo, 269057
1, 318720, Tempo, 260868
1, 337920, Tempo, 262008
1, 353280, Tempo, 258619
1, 357120, Tempo, 256410
1, 360960, Tempo, 270269
1, 364800, Tempo, 269057
1, 368640, Tempo, 248962
1, 372480, Tempo, 251046
1, 376320, Tempo, 260868
1, 407040, Tempo, 258619
1, 414720, Tempo, 262008
1, 422400, Tempo, 264317
1, 430080, Tempo, 260868
1, 433920, Tempo, 259739
1, 437760, Tempo, 258619
1, 441600, Tempo, 263157
1, 445440, Tempo, 267856
1, 449280, Tempo, 265486
1, 453120, Tempo, 255317
1, 456960, Tempo, 265486
1, 460800, Tempo, 259739
1, 468480, Tempo, 263157
1, 472320, Tempo, 256410
1, 476160, Tempo, 263157
1, 480000, Tempo, 262008
1, 483840, Tempo, 254236
1, 491520, Tempo, 266665
1, 495360, Tempo, 252099
1, 499200, Tempo, 262008
1, 506880, Tempo, 263157
1, 510720, Tempo, 254236
1, 514560, Tempo, 260868
1, 522240, Tempo, 264317
1, 529920, Tempo, 266665
1, 537600, Tempo, 262008
1, 545280, Tempo, 254236
1, 552960, Tempo, 262008
1, 568320, Tempo, 259739
1, 576000, Tempo, 262008
1, 583680, Tempo, 259739
1, 591360, Tempo, 260868
1, 599040, Tempo, 263157
1, 618240, Tempo, 258619
1, 625920, Tempo, 260868
1, 633600, Tempo, 258619
