0, 0, Header, 1, 8, 960
1, 0, Start_track
1, 0, Title_t, "nooneknows"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 355450
1, 7680, Tempo, 363855
1, 11520, Tempo, 357142
1, 15360, Tempo, 352941
1, 19200, Tempo, 348836
1, 42240, Tempo, 346819
1, 46080, Tempo, 350876
1, 49920, Tempo, 357142
1, 61440, Tempo, 352941
1, 65280, Tempo, 355028
1, 76800, Tempo, 352941
1, 84480, Tempo, 350876
1, 88320, Tempo, 348026
1, 103680, Tempo, 346419
1, 107520, Tempo, 353565
1, 111360, Tempo, 354609
1, 115200, Tempo, 356718
1, 119040, Tempo, 354817
1, 122880, Tempo, 351906
1, 126720, Tempo, 350672
1, 130560, Tempo, 351906
1, 134400, Tempo, 353148
1, 145920, Tempo, 348836
1, 153600, Tempo, 350876
1, 161280, Tempo, 348836
1, 165120, Tempo, 344826
1, 168960, Tempo, 350876
1, 188160, Tempo, 346217
1, 192000, Tempo, 345223
1, 199680, Tempo, 355870
1, 211200, Tempo, 352732
1, 215040, Tempo, 350876
1, 222720, Tempo, 352319
1, 226560, Tempo, 350466
1, 230400, Tempo, 357142
1, 241920, Tempo, 355028
1, 249600, Tempo, 361445
1, 253440, Tempo, 363635
1, 257280, Tempo, 365853
1, 261120, Tempo, 357142
1, 264960, Tempo, 352941
1, 268800, Tempo, 357142
1, 272640, Tempo, 350876
1, 276480, Tempo, 355028
1, 280320, Tempo, 361445
1, 284160, Tempo, 355028
1, 288000, Tempo, 363635
1, 291840, Tempo, 355028
1, 295680, Tempo, 363635
1, 299520, Tempo, 357142
1, 303360, Tempo, 352941
1, 307200, Tempo, 355028
1, 322560, Tempo, 350876
1, 330240, Tempo, 348836
1, 337920, Tempo, 355028
1, 341760, Tempo, 357142
1, 349440, Tempo, 355028
1, 353280, Tempo, 357142
1, 360960, Tempo, 352941
1, 372480, Tempo, 357142
1, 376320, Tempo, 344826
1, 380160, Tempo, 348836
1, 387840, Tempo, 350876
1, 391680, Tempo, 344826
1, 399360, Tempo, 355028
1, 407040, Tempo, 348836
1, 410880, Tempo, 350876
1, 422400, Tempo, 348836
1, 426240, Tempo, 346819
1, 430080, Tempo, 355028
1, 433920, Tempo, 352941
1, 453120, Tempo, 357142
1, 472320, Tempo, 355028
1, 476160, Tempo, 352941
1, 483840, Tempo, 355028
1, 499200, Tempo, 363635
1, 503040, Tempo, 359281
1, 510720, Tempo, 357142
1, 514560, Tempo, 368097
1, 518400, Tempo, 363635
1, 522240, Tempo, 370370
1, 526080, Tempo, 368097
1, 529920, Tempo, 372669
1, 533760, Tempo, 357142
1, 549120, Tempo, 348836
1, 560640, Tempo, 346819
1, 572160, Tempo, 348836
1, 576000, Tempo, 350876
1, 579840, Tempo, 352941
1, 587520, Tempo, 357142
1, 595200, Tempo, 342857
1, 599040, Tempo, 350876
1, 602880, Tempo, 355028
1, 606720, Tempo, 352941
1, 610560, Tempo, 355028
1, 618240, Tempo, 357142
1, 622080, Tempo, 361445
1, 625920, Tempo, 355028
1, 633600, Tempo, 348836
1, 645120, Tempo, 350876
1, 648960, Tempo, 348836
1, 656640, Tempo, 346819
1, 672000, Tempo, 352941
1, 672000, End_track
2, 0, Start_track
2, 0, Title_t, "PART GUITAR"
2, 0, Text_t, "sing_off"
2, 0, Text_t, "[idle]"
2, 0, Text_t, "drum_off"
2, 0, Text_t, "bass_off"
2, 7650, Note_on_c, 0, 69, 100
2, 7650, Note_on_c, 0, 81, 100
2, 7650, Note_on_c, 0, 93, 100
2, 7650, Note_on_c, 0, 105, 100
2, 7680, Text_t, "[chorus]"
2, 7680, Text_t, "[play]"
2, 7680, Text_t, "drum_on"
2, 7680, Text_t, "bass_on"
2, 7680, Text_t, "[section intro]"
2, 7680, Note_on_c, 0, 61, 100
2, 7680, Note_on_c, 0, 62, 100
2, 7680, Note_on_c, 0, 74, 100
2, 7680, Note_on_c, 0, 75, 100
2, 7680, Note_on_c, 0, 86, 100
2, 7680, Note_on_c, 0, 88, 100
2, 7680, Note_on_c, 0, 98, 100
2, 7680, Note_on_c, 0, 100, 100
2, 7680, Note_on_c, 3, 47, 100
2, 7920, Note_on_c, 0, 61, 0
2, 7920, Note_on_c, 0, 62, 0
2, 7920, Note_on_c, 0, 74, 0
2, 7920, Note_on_c, 0, 75, 0
2, 7920, Note_on_c, 0, 86, 0
2, 7920, Note_on_c, 0, 88, 0
2, 7920, Note_on_c, 0, 98, 0
2, 7920, Note_on_c, 0, 100, 0
2, 9570, Note_on_c, 0, 69, 0
2, 9570, Note_on_c, 0, 81, 0
2, 9570, Note_on_c, 0, 93, 0
2, 9570, Note_on_c, 0, 105, 0
2, 9570, Note_on_c, 0, 70, 100
2, 9570, Note_on_c, 0, 82, 100
2, 9570, Note_on_c, 0, 94, 100
2, 9570, Note_on_c, 0, 106, 100
2, 9600, Note_on_c, 0, 61, 100
2, 9600, Note_on_c, 0, 62, 100
2, 9600, Note_on_c, 0, 74, 100
2, 9600, Note_on_c, 0, 75, 100
2, 9600, Note_on_c, 0, 86, 100
2, 9600, Note_on_c, 0, 88, 100
2, 9600, Note_on_c, 0, 98, 100
2, 9600, Note_on_c, 0, 100, 100
2, 9840, Note_on_c, 0, 61, 0
2, 9840, Note_on_c, 0, 62, 0
2, 9840, Note_on_c, 0, 74, 0
2, 9840, Note_on_c, 0, 75, 0
2, 9840, Note_on_c, 0, 86, 0
2, 9840, Note_on_c, 0, 88, 0
2, 9840, Note_on_c, 0, 98, 0
2, 9840, Note_on_c, 0, 100, 0
2, 11490, Note_on_c, 0, 70, 0
2, 11490, Note_on_c, 0, 82, 0
2, 11490, Note_on_c, 0, 94, 0
2, 11490, Note_on_c, 0, 106, 0
2, 11490, Note_on_c, 0, 69, 100
2, 11490, Note_on_c, 0, 81, 100
2, 11490, Note_on_c, 0, 93, 100
2, 11490, Note_on_c, 0, 105, 100
2, 11520, Note_on_c, 0, 61, 100
2, 11520, Note_on_c, 0, 62, 100
2, 11520, Note_on_c, 0, 74, 100
2, 11520, Note_on_c, 0, 75, 100
2, 11520, Note_on_c, 0, 86, 100
2, 11520, Note_on_c, 0, 88, 100
2, 11520, Note_on_c, 0, 98, 100
2, 11520, Note_on_c, 0, 100, 100
2, 11760, Note_on_c, 0, 61, 0
2, 11760, Note_on_c, 0, 62, 0
2, 11760, Note_on_c, 0, 74, 0
2, 11760, Note_on_c, 0, 75, 0
2, 11760, Note_on_c, 0, 86, 0
2, 11760, Note_on_c, 0, 88, 0
2, 11760, Note_on_c, 0, 98, 0
2, 11760, Note_on_c, 0, 100, 0
2, 13410, Note_on_c, 0, 69, 0
2, 13410, Note_on_c, 0, 81, 0
2, 13410, Note_on_c, 0, 93, 0
2, 13410, Note_on_c, 0, 105, 0
2, 13410, Note_on_c, 0, 70, 100
2, 13410, Note_on_c, 0, 82, 100
2, 13410, Note_on_c, 0, 94, 100
2, 13410, Note_on_c, 0, 106, 100
2, 13440, Note_on_c, 0, 61, 100
2, 13440, Note_on_c, 0, 62, 100
2, 13440, Note_on_c, 0, 74, 100
2, 13440, Note_on_c, 0, 75, 100
2, 13440, Note_on_c, 0, 86, 100
2, 13440, Note_on_c, 0, 88, 100
2, 13440, Note_on_c, 0, 98, 100
2, 13440, Note_on_c, 0, 100, 100
2, 13680, Note_on_c, 0, 61, 0
2, 13680, Note_on_c, 0, 62, 0
2, 13680, Note_on_c, 0, 74, 0
2, 13680, Note_on_c, 0, 75, 0
2, 13680, Note_on_c, 0, 86, 0
2, 13680, Note_on_c, 0, 88, 0
2, 13680, Note_on_c, 0, 98, 0
2, 13680, Note_on_c, 0, 100, 0
2, 13920, Note_on_c, 3, 47, 0
2, 14050, Note_on_c, 0, 69, 100
2, 14050, Note_on_c, 0, 81, 100
2, 14050, Note_on_c, 0, 93, 100
2, 14050, Note_on_c, 0, 105, 100
2, 14080, Note_on_c, 0, 97, 100
2, 14160, Note_on_c, 3, 52, 100
2, 14240, Note_on_c, 0, 97, 0
2, 14400, Note_on_c, 3, 52, 0
2, 14400, Note_on_c, 0, 61, 100
2, 14400, Note_on_c, 0, 73, 100
2, 14400, Note_on_c, 0, 86, 100
2, 14400, Note_on_c, 0, 98, 100
2, 15360, Text_t, "[verse]"
2, 15360, Note_on_c, 0, 61, 0
2, 15360, Note_on_c, 0, 73, 0
2, 15360, Note_on_c, 0, 86, 0
2, 15360, Note_on_c, 0, 98, 0
2, 15360, Note_on_c, 0, 60, 100
2, 15360, Note_on_c, 0, 72, 100
2, 15360, Note_on_c, 0, 84, 100
2, 15360, Note_on_c, 0, 96, 100
2, 15360, Note_on_c, 3, 40, 100
2, 15600, Note_on_c, 0, 60, 0
2, 15600, Note_on_c, 0, 72, 0
2, 15600, Note_on_c, 0, 84, 0
2, 15600, Note_on_c, 0, 96, 0
2, 15600, Note_on_c, 3, 40, 0
2, 15810, Note_on_c, 0, 70, 0
2, 15810, Note_on_c, 0, 82, 0
2, 15810, Note_on_c, 0, 94, 0
2, 15810, Note_on_c, 0, 106, 0
2, 16320, Note_on_c, 0, 62, 100
2, 16320, Note_on_c, 0, 72, 100
2, 16320, Note_on_c, 0, 74, 100
2, 16320, Note_on_c, 0, 85, 100
2, 16320, Note_on_c, 0, 87, 100
2, 16320, Note_on_c, 0, 97, 100
2, 16320, Note_on_c, 0, 99, 100
2, 16320, Note_on_c, 3, 49, 100
2, 16560, Note_on_c, 0, 62, 0
2, 16560, Note_on_c, 0, 72, 0
2, 16560, Note_on_c, 0, 74, 0
2, 16560, Note_on_c, 0, 85, 0
2, 16560, Note_on_c, 0, 87, 0
2, 16560, Note_on_c, 0, 97, 0
2, 16560, Note_on_c, 0, 99, 0
2, 17280, Note_on_c, 0, 62, 100
2, 17280, Note_on_c, 0, 74, 100
2, 17280, Note_on_c, 0, 85, 100
2, 17280, Note_on_c, 0, 87, 100
2, 17280, Note_on_c, 0, 97, 100
2, 17280, Note_on_c, 0, 99, 100
2, 17520, Note_on_c, 3, 49, 0
2, 17520, Note_on_c, 0, 62, 0
2, 17520, Note_on_c, 0, 74, 0
2, 17520, Note_on_c, 0, 85, 0
2, 17520, Note_on_c, 0, 87, 0
2, 17520, Note_on_c, 0, 97, 0
2, 17520, Note_on_c, 0, 99, 0
2, 17848, Note_on_c, 0, 86, 100
2, 17920, Note_on_c, 0, 73, 100
2, 17920, Note_on_c, 0, 98, 100
2, 18088, Note_on_c, 0, 86, 0
2, 18160, Note_on_c, 0, 73, 0
2, 18160, Note_on_c, 0, 98, 0
2, 18240, Note_on_c, 0, 60, 100
2, 18240, Note_on_c, 0, 72, 100
2, 18240, Note_on_c, 0, 85, 100
2, 18240, Note_on_c, 0, 97, 100
2, 18240, Note_on_c, 3, 47, 100
2, 18480, Note_on_c, 0, 60, 0
2, 18480, Note_on_c, 0, 72, 0
2, 18480, Note_on_c, 0, 85, 0
2, 18480, Note_on_c, 0, 97, 0
2, 18720, Note_on_c, 3, 47, 0
2, 19200, Note_on_c, 0, 62, 100
2, 19200, Note_on_c, 0, 72, 100
2, 19200, Note_on_c, 0, 74, 100
2, 19200, Note_on_c, 0, 85, 100
2, 19200, Note_on_c, 0, 87, 100
2, 19200, Note_on_c, 0, 97, 100
2, 19200, Note_on_c, 0, 99, 100
2, 19200, Note_on_c, 3, 49, 100
2, 19440, Note_on_c, 0, 62, 0
2, 19440, Note_on_c, 0, 72, 0
2, 19440, Note_on_c, 0, 74, 0
2, 19440, Note_on_c, 0, 85, 0
2, 19440, Note_on_c, 0, 87, 0
2, 19440, Note_on_c, 0, 97, 0
2, 19440, Note_on_c, 0, 99, 0
2, 20160, Note_on_c, 0, 62, 100
2, 20160, Note_on_c, 0, 74, 100
2, 20160, Note_on_c, 0, 85, 100
2, 20160, Note_on_c, 0, 87, 100
2, 20160, Note_on_c, 0, 97, 100
2, 20160, Note_on_c, 0, 99, 100
2, 20400, Note_on_c, 3, 49, 0
2, 20400, Note_on_c, 0, 62, 0
2, 20400, Note_on_c, 0, 74, 0
2, 20400, Note_on_c, 0, 85, 0
2, 20400, Note_on_c, 0, 87, 0
2, 20400, Note_on_c, 0, 97, 0
2, 20400, Note_on_c, 0, 99, 0
2, 20728, Note_on_c, 0, 86, 100
2, 20800, Note_on_c, 0, 73, 100
2, 20800, Note_on_c, 0, 98, 100
2, 20968, Note_on_c, 0, 86, 0
2, 21040, Note_on_c, 0, 73, 0
2, 21040, Note_on_c, 0, 98, 0
2, 21120, Note_on_c, 0, 60, 100
2, 21120, Note_on_c, 0, 72, 100
2, 21120, Note_on_c, 0, 85, 100
2, 21120, Note_on_c, 0, 97, 100
2, 21120, Note_on_c, 3, 47, 100
2, 21360, Note_on_c, 0, 60, 0
2, 21360, Note_on_c, 0, 72, 0
2, 21360, Note_on_c, 0, 85, 0
2, 21360, Note_on_c, 0, 97, 0
2, 21600, Note_on_c, 3, 47, 0
2, 21730, Note_on_c, 0, 70, 100
2, 21730, Note_on_c, 0, 82, 100
2, 21730, Note_on_c, 0, 94, 100
2, 21730, Note_on_c, 0, 106, 100
2, 21760, Note_on_c, 0, 97, 100
2, 21840, Note_on_c, 3, 52, 100
2, 21920, Note_on_c, 0, 97, 0
2, 22080, Note_on_c, 3, 52, 0
2, 22080, Note_on_c, 0, 61, 100
2, 22080, Note_on_c, 0, 73, 100
2, 22080, Note_on_c, 0, 86, 100
2, 22080, Note_on_c, 0, 98, 100
2, 23040, Note_on_c, 0, 61, 0
2, 23040, Note_on_c, 0, 73, 0
2, 23040, Note_on_c, 0, 86, 0
2, 23040, Note_on_c, 0, 98, 0
2, 23040, Note_on_c, 0, 60, 100
2, 23040, Note_on_c, 0, 72, 100
2, 23040, Note_on_c, 0, 84, 100
2, 23040, Note_on_c, 0, 96, 100
2, 23040, Note_on_c, 3, 40, 100
2, 23280, Note_on_c, 0, 60, 0
2, 23280, Note_on_c, 0, 72, 0
2, 23280, Note_on_c, 0, 84, 0
2, 23280, Note_on_c, 0, 96, 0
2, 23280, Note_on_c, 3, 40, 0
2, 23490, Note_on_c, 0, 69, 0
2, 23490, Note_on_c, 0, 81, 0
2, 23490, Note_on_c, 0, 93, 0
2, 23490, Note_on_c, 0, 105, 0
2, 24000, Note_on_c, 0, 62, 100
2, 24000, Note_on_c, 0, 72, 100
2, 24000, Note_on_c, 0, 74, 100
2, 24000, Note_on_c, 0, 85, 100
2, 24000, Note_on_c, 0, 87, 100
2, 24000, Note_on_c, 0, 97, 100
2, 24000, Note_on_c, 0, 99, 100
2, 24000, Note_on_c, 3, 49, 100
2, 24240, Note_on_c, 0, 62, 0
2, 24240, Note_on_c, 0, 72, 0
2, 24240, Note_on_c, 0, 74, 0
2, 24240, Note_on_c, 0, 85, 0
2, 24240, Note_on_c, 0, 87, 0
2, 24240, Note_on_c, 0, 97, 0
2, 24240, Note_on_c, 0, 99, 0
2, 24960, Note_on_c, 0, 62, 100
2, 24960, Note_on_c, 0, 74, 100
2, 24960, Note_on_c, 0, 85, 100
2, 24960, Note_on_c, 0, 87, 100
2, 24960, Note_on_c, 0, 97, 100
2, 24960, Note_on_c, 0, 99, 100
2, 25200, Note_on_c, 3, 49, 0
2, 25200, Note_on_c, 0, 62, 0
2, 25200, Note_on_c, 0, 74, 0
2, 25200, Note_on_c, 0, 85, 0
2, 25200, Note_on_c, 0, 87, 0
2, 25200, Note_on_c, 0, 97, 0
2, 25200, Note_on_c, 0, 99, 0
2, 25526, Note_on_c, 0, 86, 100
2, 25600, Note_on_c, 0, 73, 100
2, 25600, Note_on_c, 0, 98, 100
2, 25766, Note_on_c, 0, 86, 0
2, 25840, Note_on_c, 0, 73, 0
2, 25840, Note_on_c, 0, 98, 0
2, 25920, Note_on_c, 0, 60, 100
2, 25920, Note_on_c, 0, 72, 100
2, 25920, Note_on_c, 0, 85, 100
2, 25920, Note_on_c, 0, 97, 100
2, 25920, Note_on_c, 3, 47, 100
2, 26160, Note_on_c, 0, 60, 0
2, 26160, Note_on_c, 0, 72, 0
2, 26160, Note_on_c, 0, 85, 0
2, 26160, Note_on_c, 0, 97, 0
2, 26400, Note_on_c, 3, 47, 0
2, 26880, Note_on_c, 0, 62, 100
2, 26880, Note_on_c, 0, 72, 100
2, 26880, Note_on_c, 0, 74, 100
2, 26880, Note_on_c, 0, 85, 100
2, 26880, Note_on_c, 0, 87, 100
2, 26880, Note_on_c, 0, 97, 100
2, 26880, Note_on_c, 0, 99, 100
2, 26880, Note_on_c, 3, 49, 100
2, 27120, Note_on_c, 0, 62, 0
2, 27120, Note_on_c, 0, 72, 0
2, 27120, Note_on_c, 0, 74, 0
2, 27120, Note_on_c, 0, 85, 0
2, 27120, Note_on_c, 0, 87, 0
2, 27120, Note_on_c, 0, 97, 0
2, 27120, Note_on_c, 0, 99, 0
2, 27840, Note_on_c, 0, 62, 100
2, 27840, Note_on_c, 0, 74, 100
2, 27840, Note_on_c, 0, 85, 100
2, 27840, Note_on_c, 0, 87, 100
2, 27840, Note_on_c, 0, 97, 100
2, 27840, Note_on_c, 0, 99, 100
2, 28080, Note_on_c, 3, 49, 0
2, 28080, Note_on_c, 0, 62, 0
2, 28080, Note_on_c, 0, 74, 0
2, 28080, Note_on_c, 0, 85, 0
2, 28080, Note_on_c, 0, 87, 0
2, 28080, Note_on_c, 0, 97, 0
2, 28080, Note_on_c, 0, 99, 0
2, 28406, Note_on_c, 0, 86, 100
2, 28480, Note_on_c, 0, 73, 100
2, 28480, Note_on_c, 0, 98, 100
2, 28646, Note_on_c, 0, 86, 0
2, 28720, Note_on_c, 0, 73, 0
2, 28720, Note_on_c, 0, 98, 0
2, 28800, Note_on_c, 0, 60, 100
2, 28800, Note_on_c, 0, 72, 100
2, 28800, Note_on_c, 0, 85, 100
2, 28800, Note_on_c, 0, 97, 100
2, 28800, Note_on_c, 3, 47, 100
2, 29040, Note_on_c, 0, 60, 0
2, 29040, Note_on_c, 0, 72, 0
2, 29040, Note_on_c, 0, 85, 0
2, 29040, Note_on_c, 0, 97, 0
2, 29280, Note_on_c, 3, 47, 0
2, 29410, Note_on_c, 0, 69, 100
2, 29410, Note_on_c, 0, 81, 100
2, 29410, Note_on_c, 0, 93, 100
2, 29410, Note_on_c, 0, 105, 100
2, 29440, Note_on_c, 0, 97, 100
