0, 0, Header, 1, 8, 960
1, 0, Start_track
1, 0, Title_t, "texasflood"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 982801
1, 3840, Tempo, 968499
1, 8636, Tempo, 945626
1, 11520, Tempo, 970088
1, 15360, Tempo, 977198
1, 19200, Tempo, 1009250
1, 20120, Tempo, 1002506
1, 23040, Tempo, 999997
1, 26880, Tempo, 1000499
1, 30720, Tempo, 990099
1, 32638, Tempo, 1029157
1, 34560, Tempo, 1005025
1, 38400, Tempo, 1003344
1, 42240, Tempo, 1000998
1, 46080, Tempo, 996249
1, 49920, Tempo, 1012248
1, 53760, Tempo, 1020498
1, 57600, Tempo, 1014749
1, 61440, Tempo, 1020408
1, 63368, Tempo, 1034482
1, 65280, Tempo, 1034499
1, 69120, Tempo, 1040748
1, 71042, Tempo, 1032701
1, 72960, Tempo, 1030042
1, 76800, Tempo, 1023748
1, 80640, Tempo, 1010100
1, 82520, Tempo, 1033591
1, 84480, Tempo, 1032498
1, 85438, Tempo, 1023017
1, 86886, Tempo, 1037165
1, 88320, Tempo, 1021999
1, 92160, Tempo, 1013249
1, 96000, Tempo, 1018998
1, 99840, Tempo, 1032498
1, 103680, Tempo, 1054249
1, 105278, Tempo, 1061007
1, 107520, Tempo, 1054481
1, 113270, Tempo, 1033591
1, 115200, Tempo, 1029157
1, 116158, Tempo, 1047119
1, 119040, Tempo, 1035248
1, 122880, Tempo, 1025748
1, 123850, Tempo, 1010951
1, 125758, Tempo, 1033591
1, 126720, Tempo, 1057268
1, 127666, Tempo, 1046205
1, 130560, Tempo, 1035374
1, 134400, Tempo, 1050788
1, 138240, Tempo, 1041499
1, 142080, Tempo, 1038748
1, 145920, Tempo, 1038061
1, 147838, Tempo, 1047119
1, 149760, Tempo, 1057499
1, 153600, Tempo, 1050248
1, 157458, Tempo, 1066666
1, 159346, Tempo, 1052631
1, 161274, Tempo, 1033591
1, 163212, Tempo, 1048032
1, 165120, Tempo, 1050747
1, 168960, Tempo, 1055248
1, 172800, Tempo, 1041998
1, 176640, Tempo, 1024248
1, 180480, Tempo, 1031749
1, 184320, Tempo, 1026249
1, 188160, Tempo, 1044749
1, 192000, Tempo, 1051998
1, 195840, Tempo, 1033499
1, 199680, Tempo, 1034499
1, 203520, Tempo, 1047749
1, 207360, Tempo, 1039499
1, 211200, Tempo, 1022747
1, 215040, Tempo, 1026249
1, 216930, Tempo, 1010951
1, 218868, Tempo, 1033591
1, 222720, Tempo, 1017248
1, 226560, Tempo, 1023249
1, 230400, Tempo, 1018748
1, 234240, Tempo, 1020249
1, 238080, Tempo, 1036249
1, 241920, Tempo, 1033591
1, 245760, Tempo, 1065719
1, 249600, Tempo, 1059134
1, 253426, Tempo, 1036267
1, 254354, Tempo, 1042569
1, 255982, Tempo, 1064772
1, 257280, Tempo, 1054998
1, 261120, Tempo, 1022145
1, 264960, Tempo, 1049998
1, 268770, Tempo, 1055408
1, 272640, Tempo, 1066998
1, 276480, Tempo, 1057749
1, 280320, Tempo, 1049867
1, 281948, Tempo, 1071426
1, 284160, Tempo, 1014749
1, 288000, Tempo, 1062499
1, 288000, End_track
2, 0, Start_track
2, 0, Title_t, "PART GUITAR"
2, 960, Text_t, "sing_off"
2, 960, Text_t, "[idle]"
2, 960, Text_t, "drum_off"
2, 960, Text_t, "bass_off"
2, 960, Text_t, "gtr_double_tempo"
2, 960, Text_t, "[double_tempo]"
